permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
1142666,TINTO & TAPAS,2019-11-25T00:00:00.000,2020-02-29T00:00:00.000,7958 W BELMONT AVE,41.937859428,-87.826255031
1142290,Pie cafe,2019-10-15T00:00:00.000,2020-02-29T00:00:00.000,5357 N ASHLAND AVE,41.979717097,-87.66956491799999
1142132,KALIFLOWER,2019-09-20T00:00:00.000,2020-02-29T00:00:00.000,333 N MICHIGAN AVE,41.887542941,-87.62440700200001
1142101,SMALL CHEVAL,2019-09-20T00:00:00.000,2020-02-29T00:00:00.000,1732 N MILWAUKEE AVE,41.912730418,-87.68132703299999
1142100,THE WHALE CHICAGO,2019-09-19T00:00:00.000,2020-02-29T00:00:00.000,2427-2431 N MILWAUKEE AVE,41.925388018,-87.70116974
1142099,FLORAFAUNA,2019-09-23T00:00:00.000,2020-02-29T00:00:00.000,11 W ILLINOIS ST,41.890746791,-87.628510944
1141644,LA LUNA,2019-07-26T00:00:00.000,2020-02-29T00:00:00.000,1726 S RACINE AVE,41.857995698,-87.65657779899999
1141643,DOGGONE'S,2019-08-15T00:00:00.000,2020-02-29T00:00:00.000,3301 W ARMITAGE AVE,41.91724978,-87.710355706
1141642,FANNIE MAY CONFECTIONS #152,2019-08-19T00:00:00.000,2020-02-29T00:00:00.000,343 N MICHIGAN AVE,41.887750299000004,-87.624410868
1141641,GALVIN'S PUBLIC HOUSE,2019-11-07T00:00:00.000,2020-02-29T00:00:00.000,5901 W LAWRENCE AVE,41.967574842,-87.774937634
1141621,ASADITO TAQUERIA/WOK N BAO,2019-07-29T00:00:00.000,2020-02-29T00:00:00.000,540 W MADISON ST,41.881966449000004,-87.641275825
1141620,GHIRARDELLI CHOCOLATE CO,2019-08-05T00:00:00.000,2020-02-29T00:00:00.000,400 N MICHIGAN AVE,41.889397883,-87.624390395
1141604,COCOA & CO.,2019-07-26T00:00:00.000,2020-02-29T00:00:00.000,1651 N WELLS ST,41.912627142,-87.634608844
1141600,BARTON G - THE RESTAURANT,2019-08-28T00:00:00.000,2020-02-29T00:00:00.000,415 N DEARBORN ST,41.889783087,-87.62945359999999
