PERMIT NUMBER,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,PAYMENT DATE,ADDRESS,ADDRESS NUMBER START,ADDRESS NUMBER,STREET DIRECTION,STREET,STREET TYPE,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE,LOCATION
1143796,350040,2,3258 S. WELLS ST. RESTAURANT LLC,TURTLES,02/27/2020,05/31/2021,02/27/2020,238 W 33RD ST,238,238,W,33RD,ST,CHICAGO,IL,60616,11,31,11-31,9,41.834685354,-87.633094541,"(41.83468535402639, -87.63309454134783)"
1143980,409750,1,"SMASHOTELS CHICAGO, LLC",HOTEL EMC2,04/10/2020,05/31/2021,02/28/2020,228 E ONTARIO ST,228,228,E,ONTARIO,ST,CHICAGO,IL,60611,42,41,42-41,18,41.893482969,-87.621930591,"(41.89348296915108, -87.62193059128795)"
1144014,297094,1,TAOS RESTAURANT LLC,PIAZZA BELLA OSTERIA,02/27/2020,05/31/2021,02/27/2020,2114 W ROSCOE ST,2114,2114,W,ROSCOE,ST,CHICAGO,IL,60618,32,21,32-21,19,41.943288554,-87.681527845,"(41.943288553820175, -87.68152784547775)"
1143772,366751,1,"800 W. RANDOLPH RESTAURANT, LLC",AU CHEVAL,03/04/2020,05/31/2021,03/04/2020,800 W RANDOLPH ST,800,800,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.884515458,-87.6474973,"(41.88451545836221, -87.64749730032112)"
1144011,352879,3,"RICHMOND STREET PARTNERS, LLC",SPACE519,05/22/2020,05/31/2021,04/22/2020,200 E CHESTNUT ST,200,200,E,CHESTNUT,ST,CHICAGO,,60611,2,18,2-18,18,41.898530344,-87.621777409,"(41.89853034425216, -87.62177740924473)"
1143827,372969,1,"SUPERIOR 42, INC.",SUNNY SIDE UP,03/12/2020,05/31/2021,03/09/2020,42 E SUPERIOR ST,42,42,E,SUPERIOR,ST,CHICAGO,IL,60611,42,19,42-19,18,41.895812575,-87.626589024,"(41.89581257468186, -87.62658902428436)"
1143924,50161,2,"LUMA, LLC",Lou Malnati's Pizzeria,03/13/2020,05/31/2021,03/12/2020,956-58 W WRIGHTWOOD AVE,956,956-58,W,WRIGHTWOOD,AVE,CHICAGO,IL,60614,43,22,43-22,19,41.929119949,-87.653591862,"(41.92911994883241, -87.65359186197217)"
1144568,23957,1,TEMPO CAFE LIMITED,TEMPO CAFE,06/17/2020,05/31/2021,05/27/2020,6 E CHESTNUT ST,6,6,E,CHESTNUT,ST,CHICAGO,IL,60611,2,32,2-32,18,41.898431372,-87.628009163,"(41.89843137207629, -87.6280091630558)"
1143917,368477,1,BOTTLENECK WELLS LLC,OLD TOWN POUR HOUSE,06/30/2020,05/31/2021,05/27/2020,1417-1419 N WELLS ST,1417,1417-1419,N,WELLS,ST,CHICAGO,IL,,27,54,27-54,18,41.908190475,-87.634472296,"(41.90819047476291, -87.63447229558089)"
1145878,431422,1,"PLEASANT PIZZA, L.L.C.",BOB'S PIZZA,07/01/2020,05/31/2021,07/01/2020,1659 W 21ST,1659,1659,W,21ST,,CHICAGO,,,25,,25-,,,,
