,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
0,1143796,TURTLES,02/27/2020,05/31/2021,238 W 33RD ST,CHICAGO,IL,60616.0,41.834685354,-87.633094541,"(41.83468535402639, -87.63309454134783)"
1,1143980,HOTEL EMC2,04/10/2020,05/31/2021,228 E ONTARIO ST,CHICAGO,IL,60611.0,41.893482969000004,-87.62193059100001,"(41.89348296915108, -87.62193059128795)"
2,1144014,PIAZZA BELLA OSTERIA,02/27/2020,05/31/2021,2114 W ROSCOE ST,CHICAGO,IL,60618.0,41.943288554,-87.681527845,"(41.943288553820175, -87.68152784547775)"
3,1143772,AU CHEVAL,03/04/2020,05/31/2021,800 W RANDOLPH ST,CHICAGO,IL,60607.0,41.884515458,-87.6474973,"(41.88451545836221, -87.64749730032112)"
4,1144011,SPACE519,05/22/2020,05/31/2021,200 E CHESTNUT ST,CHICAGO,,60611.0,41.898530344,-87.62177740899999,"(41.89853034425216, -87.62177740924473)"
5,1143827,SUNNY SIDE UP,03/12/2020,05/31/2021,42 E SUPERIOR ST,CHICAGO,IL,60611.0,41.895812575,-87.626589024,"(41.89581257468186, -87.62658902428436)"
6,1143924,Lou Malnati's Pizzeria,03/13/2020,05/31/2021,956-58 W WRIGHTWOOD AVE,CHICAGO,IL,60614.0,41.929119949000004,-87.65359186200001,"(41.92911994883241, -87.65359186197217)"
7,1144568,TEMPO CAFE,06/17/2020,05/31/2021,6 E CHESTNUT ST,CHICAGO,IL,60611.0,41.898431372,-87.62800916299999,"(41.89843137207629, -87.6280091630558)"
8,1143917,OLD TOWN POUR HOUSE,06/30/2020,05/31/2021,1417-1419 N WELLS ST,CHICAGO,IL,,41.908190475,-87.634472296,"(41.90819047476291, -87.63447229558089)"
9,1145878,BOB'S PIZZA,07/01/2020,05/31/2021,1659 W 21ST,CHICAGO,,,,,
10,1143918,The Perch Kitchen & Tap,07/02/2020,05/31/2021,1932 W DIVISION ST,CHICAGO,IL,60622.0,41.903318259,-87.676182079,"(41.903318259235434, -87.67618207856104)"
11,1144496,THE MARQ,07/23/2020,05/31/2021,60 W ADAMS ST,CHICAGO,IL,60603.0,41.879535234,-87.630024211,"(41.879535234081224, -87.63002421135039)"
12,1144019,CORNER BAKERY CAFE,07/29/2020,05/31/2021,676 N ST CLAIR ST,CHICAGO,IL,60611.0,41.894852961,-87.6229018,"(41.89485296136011, -87.62290180042824)"
13,1143809,Gilt Bar/Doughnut Vault/Ciccio Mio,03/04/2020,05/31/2021,226-230 W KINZIE ST,CHICAGO,IL,60654.0,41.889261623,-87.635182056,"(41.889261623396315, -87.63518205602392)"
14,1146344,VIET NAM RESTAURANT,08/12/2020,05/31/2021,1032 W ARGYLE,CHICAGO,,,41.97340307,-87.656262629,"(41.973403069814694, -87.65626262861889)"
15,1144855,EASY BAR,07/06/2020,05/31/2021,1944 W DIVISION ST,CHICAGO,IL,60622.0,41.903310755,-87.67665169700001,"(41.90331075549537, -87.67665169704529)"
16,1144991,TAKITO KITCHEN,02/04/2021,05/31/2021,2013 W DIVISION ST,CHICAGO,IL,60622.0,41.903071092,-87.677830971,"(41.9030710919784, -87.67783097051901)"
17,1145676,REZA'S RESTAURANT,02/09/2021,05/31/2021,5255-5259 N CLARK ST,CHICAGO,IL,60640.0,41.977842895,-87.6682074,"(41.97784289507301, -87.66820740032976)"
18,1147798,HOPS & CURDS,02/24/2021,05/31/2021,2470 N LINCOLN AVE,CHICAGO,,60614.0,41.926872319,-87.650968355,"(41.92687231925592, -87.650968355266)"
19,1143663,HOMESLYCE WHEEL HOUSE,02/21/2020,05/31/2021,934-938 W WEBSTER AVE,CHICAGO,IL,60614.0,41.921866539,-87.65242305299999,"(41.921866539026375, -87.65242305270903)"
20,1143664,OCEAN PRIME,02/10/2020,05/31/2021,87 E WACKER DR,CHICAGO,,60601.0,41.888113901,-87.62517239799999,"(41.88811390110396, -87.62517239751294)"
21,1143988,Lil' Ba-Ba-Reeba!,03/04/2020,05/31/2021,441 N CLARK ST,CHICAGO,,60654.0,41.890425064,-87.630946794,"(41.89042506371873, -87.6309467939866)"
22,1144462,BUTTERFLY,06/29/2020,05/31/2021,1139-43 W GRAND AVE,CHICAGO,IL,60642.0,41.890984178000004,-87.656121232,"(41.890984177867686, -87.65612123223337)"
23,1143676,Murphy's Bleachers,02/10/2020,05/31/2021,3653-55 N SHEFFIELD AVE,CHICAGO,IL,60613.0,41.948788471,-87.65422911700001,"(41.94878847107489, -87.65422911685373)"
24,1143686,ANNETTE'S ITALIAN ICE,01/27/2020,05/31/2021,2009 N BISSELL ST,CHICAGO,IL,60614.0,41.918442455,-87.652015059,"(41.918442455477425, -87.65201505870783)"
25,1143687,GUYJEAN / GAIJIN JAPANESE RESTAURANT,02/18/2020,05/31/2021,950 W LAKE ST,CHICAGO,,60607.0,41.885700768,-87.651763119,"(41.885700767664, -87.65176311854695)"
26,1143689,FIESTA MEXICANA CORP,02/19/2020,05/31/2021,4806 N BROADWAY,CHICAGO,IL,60640.0,41.969248782,-87.65982425899999,"(41.96924878168732, -87.65982425851124)"
