,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
0,1143796,TURTLES,02/27/2020,05/31/2021,238 W 33RD ST,41.834685354,-87.633094541
1,1143980,HOTEL EMC2,04/10/2020,05/31/2021,228 E ONTARIO ST,41.893482969000004,-87.62193059100001
2,1144014,PIAZZA BELLA OSTERIA,02/27/2020,05/31/2021,2114 W ROSCOE ST,41.943288554,-87.681527845
3,1143772,AU CHEVAL,03/04/2020,05/31/2021,800 W RANDOLPH ST,41.884515458,-87.6474973
4,1144011,SPACE519,05/22/2020,05/31/2021,200 E CHESTNUT ST,41.898530344,-87.62177740899999
5,1143827,SUNNY SIDE UP,03/12/2020,05/31/2021,42 E SUPERIOR ST,41.895812575,-87.626589024
6,1143924,Lou Malnati's Pizzeria,03/13/2020,05/31/2021,956-58 W WRIGHTWOOD AVE,41.929119949000004,-87.65359186200001
7,1144568,TEMPO CAFE,06/17/2020,05/31/2021,6 E CHESTNUT ST,41.898431372,-87.62800916299999
8,1143917,OLD TOWN POUR HOUSE,06/30/2020,05/31/2021,1417-1419 N WELLS ST,41.908190475,-87.634472296
9,1145878,BOB'S PIZZA,07/01/2020,05/31/2021,1659 W 21ST,,
10,1143918,The Perch Kitchen & Tap,07/02/2020,05/31/2021,1932 W DIVISION ST,41.903318259,-87.676182079
11,1144496,THE MARQ,07/23/2020,05/31/2021,60 W ADAMS ST,41.879535234,-87.630024211
12,1144019,CORNER BAKERY CAFE,07/29/2020,05/31/2021,676 N ST CLAIR ST,41.894852961,-87.6229018
13,1143809,Gilt Bar/Doughnut Vault/Ciccio Mio,03/04/2020,05/31/2021,226-230 W KINZIE ST,41.889261623,-87.635182056
14,1146344,VIET NAM RESTAURANT,08/12/2020,05/31/2021,1032 W ARGYLE,41.97340307,-87.656262629
15,1144855,EASY BAR,07/06/2020,05/31/2021,1944 W DIVISION ST,41.903310755,-87.67665169700001
16,1144991,TAKITO KITCHEN,02/04/2021,05/31/2021,2013 W DIVISION ST,41.903071092,-87.677830971
17,1145676,REZA'S RESTAURANT,02/09/2021,05/31/2021,5255-5259 N CLARK ST,41.977842895,-87.6682074
18,1147798,HOPS & CURDS,02/24/2021,05/31/2021,2470 N LINCOLN AVE,41.926872319,-87.650968355
19,1143663,HOMESLYCE WHEEL HOUSE,02/21/2020,05/31/2021,934-938 W WEBSTER AVE,41.921866539,-87.65242305299999
20,1143664,OCEAN PRIME,02/10/2020,05/31/2021,87 E WACKER DR,41.888113901,-87.62517239799999
21,1143988,Lil' Ba-Ba-Reeba!,03/04/2020,05/31/2021,441 N CLARK ST,41.890425064,-87.630946794
22,1144462,BUTTERFLY,06/29/2020,05/31/2021,1139-43 W GRAND AVE,41.890984178000004,-87.656121232
23,1143676,Murphy's Bleachers,02/10/2020,05/31/2021,3653-55 N SHEFFIELD AVE,41.948788471,-87.65422911700001
24,1143686,ANNETTE'S ITALIAN ICE,01/27/2020,05/31/2021,2009 N BISSELL ST,41.918442455,-87.652015059
25,1143687,GUYJEAN / GAIJIN JAPANESE RESTAURANT,02/18/2020,05/31/2021,950 W LAKE ST,41.885700768,-87.651763119
26,1143689,FIESTA MEXICANA CORP,02/19/2020,05/31/2021,4806 N BROADWAY,41.969248782,-87.65982425899999
27,1143690,OIISTAR,02/14/2020,05/31/2021,1385 N MILWAUKEE AVE,41.907072426,-87.672068361
28,1143691,LA AMISTAD INC.,03/04/2020,05/31/2021,1914 W MONTROSE AVE,41.961594915,-87.676663865
29,1143720,XIPPO,02/24/2020,05/31/2021,3759 N DAMEN AVE,41.95046614,-87.678505891
30,1143721,"NEW WAVE COFFEE, LLC",07/07/2020,05/31/2021,3103 W LOGAN BLVD,41.928292712,-87.705061268
31,1143722,The Wormhole,07/07/2020,05/31/2021,1462 N MILWAUKEE AVE,41.908378350999996,-87.674569208
